 Category ,Course Code,Title of the Course,Description,Language,Link 1,Link 2 (if SP)
... / Marketing / Marketing Skills Mastery,MSM18,The Role of Product Marketing,"Remember that soft-drink craze, when people spent time searching every can and bottle to find their own name printed on the label? That’s a classic example of great product marketing. The company responsible took 250 of the most common names, and people bought them for themselves or their loved ones. That company saw huge boosts in sales from such a simple idea.

The whole point of product marketing is to push products that attract the attention of customers and keep popular products in the spotlight. By implementing product marketing in the business you work for, you have a responsibility to understand the overarching voice and be an enabler of sales. Product marketing focuses on emphasizing the buyer’s needs or desires which can lead to numerous benefits for employees and the business.

By the end of this course, you’ll be able to:

• Define the role of product marketing compared to other forms of marketing
• Understand how to implement different product marketing strategies
• Recognize the benefits of product marketing

Why take this course?

As someone who has a role in marketing, you must ensure that products appeal to the company’s target customer. This course will identify what the role of product marketing is, how to implement various product marketing strategies, and how to recognize the importance of product marketing.

15 mins | SCORM | Development Plan",EN,https://horenso.talentlms.com/plus/catalog/courses/1029,
... / Sales / Sales to Customer Success,SCS04,The Role of Sales in Customer Onboarding,"Have you ever bought something because of an excellent sales pitch only to discover it doesn’t do what you thought it would? That’s not a good example of customer success! The sale may have gone through, but when customer expectations aren’t fulfilled, you’re unlikely to see repeat business. That’s why the sales team has an important role to play in onboarding customers.

Onboarding is all about getting the customer “on board” with the product or service they’ve just purchased. Ideally, this process is fast and simple, and meets the customer’s expectations. During the sales process, the sales rep gathers information that’s valuable for onboarding. So, sales and customer success reps need to collaborate effectively to create a great onboarding experience.

By the end of this course, you’ll be able to:

• Describe what a successful customer onboarding process looks like
• Explain how sales reps can help create a successful onboarding experience
• Identify strategies for collaboration between sales and customer success teams to ensure effective onboarding

Why take this course?

Sales reps play a vital role in onboarding. This course is for sales representatives, executives, and managers, and customer success representatives will find it useful, too. You’ll learn what a good customer onboarding process should be like, how the sales team fits into onboarding, and how sales and customer success reps can work together to ensure onboarding is a success.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/1048,
Sales & Service / Customer Success,CSS08,The Role of the Account Manager in Customer Success,"Customer success is the top priority of any business. Existing customers must have their needs continuously met, so they stay loyal to a business, reducing customer churn. But, from a big department store to a small private business, providing dedicated care to each customer isn’t easy without a certain team member.

That’s where an account manager comes in. Account managers renew customer contracts by building and managing customer relationships. And, of course, by providing great service and meeting customers’ needs and wants. Doing so reduces customer churn, promotes customer success, and turns a customer on the fence into a loyal client.

This course will help you:

• Describe the responsibilities of an account manager
• Learn how an account manager builds and maintains customer relationships
• Explain what practical customer success tools an account manager has access to and how they use them

Why take this course?

If you want to learn how an account manager can improve customer success, this course is for you. It’s perfect for people already working as an account manager and for those who work to ensure customer satisfaction. You’ll learn about the responsibilities of an account manager, learn how they build and maintain customer relationships , and see what tools they use to do their job efficiently.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/1095,
... / Marketing / Marketing Skills Mastery,MSM09,The Power of User-Generated Content,"virtual private networks – or VPNs – provide an encrypted tunnel through which all online activity and communication can travel. This helps keep you and your organization safe from cybercriminals and protects confidentiality. Pretty clever stuff, right? They can even help remote teams access work networks more safely.

The thing is, even though VPNS are a useful tool, understanding exactly what they do can be challenging. And your organization’s precise needs relate to their size and the type of work being undertaken. Understanding the pros and cons of using a VPN, along with the main types, and what to look out for, will help you make the most of the benefits that VPNs have to offer.

By the end of this course, you’ll be able to:

• Understand the advantages and disadvantages of using VPNs
• Define the 3 main types of VPN and what they offer
• Recognize what your organization should consider when choosing a VPN

Why take this course?

Cybercriminals become more sophisticated and dangerous every day. That’s why everyone working within an IT environment needs to understand the pros and cons of working with VPNs and how to go about choosing one. This course will help you understand the ins and outs of VPNs and how they can protect the organization you work for against cyberattacks and data breaches.

15 mins | SCORM | Workbook",EN,https://horenso.talentlms.com/plus/catalog/courses/792,
Human Resources / Learning Essentials,LNE01,The Psychology of Learning,"Does Pavlov’s Dog ring any bells? Professor Pavlov rang the bell, then fed the dog. Eventually, the dog made the connection. After that, every time the bell rang, the dog began to salivate.

Learning doesn’t just happen in laboratories, though. We are constantly learning, both in and outside of work. And that learning happens in different ways. Sometimes we’re conditioned, while others we learn by watching or interacting with someone else. Each type of learning has its place, whichever one we use.

By the end of this course, you’ll be able to:

•Understand what ‘the psychology of learning’ is
•Identify types of behavioral learning
•Test different learning theories to benefit your business

Why take this course?

Whatever job you do, you’ll be learning new skills all the time, and you may even need to teach others new skills. Therefore, understanding the psychology of learning is useful. This course will look at what the psychology of learning is, the different types of behavioral learning, and different learning theories. It also covers the benefits of understanding the psychology of learning.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/337,
Human Resources / Learning Applied,LNA05,The Purpose of UX and UI in Learning,"The “smart” coffee machine’s beeping obnoxiously, you can’t reach that app in the corner of your phone screen, and you’re stuck in an endless loop of links. No one likes badly designed experiences. Whatever your product, a seamless experience is vital, or you’ll lose your users quickly. Quality learning programs are no different, especially now businesses are increasingly reliant on digital learning tools.

UX and UI are essential in creating great digital learning experiences. The terms UX, User experience and UI, User interface design, are often used interchangeably, but they’re quite different. They work together to create learning programs that are easy to use, used often, and result in high-quality learning, satisfaction, and retention.

By the end of this course, you’ll be able to:

• Compare the differences, and overlap, in UI and UX functions
• Recognize the importance of great UI and UX in creating exceptional learning content
• Familiarize yourself with the fundamental principles of User Experience (UX)

Why take this course?

If you’re working in L&D, this course is a must. It’s also useful to anyone working in HR and leadership. You’ll understand the differences between UX and UI and how they work together to create quality learning experiences. You’ll also gain some solid strategies to incorporate into your business’s learning design process.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/800,
Leadership / Remote Leadership,RL001,The Remote Leadership Model,"Every group needs a leader. Peter Pan to the Lost Boys. Captain Kirk to the crew of the Enterprise. Gandalf to the Fellowship. But what do you do when your team isn’t together? Would Gandalf stop being a leader if the Hobbits were working remotely? Absolutely not!

To be a good leader, you need to be able to adapt your leadership style for remote workers. This means understanding the challenges that working from home can create when leading a team and how to overcome them. This course is designed to show you how.

By the end of this course, you’ll be able to:

• Recognize the unique challenges working remotely poses to leadership
• Define the 3 principles of the Remote Leadership Model
• Adapt your leadership style to accommodate remote workers

Why take this course?

This course will teach you the basics of the Remote Leadership Model, and how you can use it to adapt your leadership style. It’s suitable for anyone in leadership or management positions who are either working remotely or have remote workers, so you’ll also learn what challenges to be aware of when leading remotely.

10 mins | SCORM | Development Plan",EN,https://horenso.talentlms.com/plus/catalog/courses/444,
Personal Development / Risk and Uncertainty,RU005,The Rewards of Taking Risks,"Risk. What does that word mean to you? Heroic adventures, filled with dazzling feats of daring, and spectacular rewards? Or maybe hazards, danger, and potential catastrophe? Unless you’re an action-movie hero, it’s probably far less dramatic than that. Every day, you face risks in various forms, and most days you probably navigate them with little drama. So, when it comes to making decisions about our lives, why does taking risks still feel so, well… risky?

The thing is, when you build risk-taking into your life, you stand to gain regardless of outcome. Risk-taking is a reward in itself. It not only opens the door to awesome new experiences and opportunities, but also builds your self-confidence, creativity, and resilience along the way.

By the end of this course, you’ll be able to:

• Recognize the rewards of positive risk-taking
• Compare differing attitudes to risk-taking and their benefits
• Justify taking risks for self-development and fulfillment

Why take this course?

You don’t have to be an ace explorer for risks to be relevant. This course is useful to anyone who wants to push their boundaries and explore the advantages of risk-taking. You’ll learn how taking risks can benefit you and the opportunities it brings.

10 mins | SCORM | Development Plan",EN,https://horenso.talentlms.com/plus/catalog/courses/523,
Personal Development / Online Social Presence,OSP01,The Right Way to use Social Media,"By the time you’ve finished reading this sentence, there will be about 100 new social-media users across the globe. Right now, more than half of the global population uses social media, and that number is going up every single moment. Social media has already changed the way we interact personally and professionally, and it’s still evolving.

Using social media the right way can enhance your relationships, reputation, influence, and career prospects. Using it the wrong way has the potential to damage those things in less than 280 characters. Professionals need to take social media seriously. In this course you’ll learn exactly why, and how.

By the end of this course, you’ll be able to:

• Recognize opportunities for using social media to boost your personal and professional status
• Create a personal social media strategy
• Use content creation and curation to get the most out of social media

Why take this course?

Social media is everywhere and is only getting more popular, so this course will be useful to everyone taking it. The course focuses on social media for the individual and gives you the tools you need to use social media to your advantage, personally and professionally. It’s a quick and useful addition to your skill set, so come inside and level up.

5 mins | SCORM | Takeaway Tasks, Development Plan",EN,https://horenso.talentlms.com/plus/catalog/courses/500,
Human Resources / Employee Experience,EE05,The Rise of Flexible Benefits,"These days, we know that the same working patterns and hours don’t work for everyone. Talented employees can be found living anywhere. They have a variety of work-life-balance needs. And there’s great technology available to support remote and flexible teams. There are lots of creative ways to introduce flexible benefits to your workforce. Your employees will thank you. And your organization will benefit, too.

Understanding exactly what flexible benefits are is the 1st step to understanding why employees value them. It’s time to step away from the idea that flexibility reduces productivity and engagement. The opposite is actually true. Learning this, along with how to manage any potential drawbacks, will increase employee well-being. It’ll also help you attract and retain the most talented employees.

By the end of this course, you’ll be able to:

• Define flexible benefits
• Understand why employees and organizations benefit from flexible benefits
• Take steps to support flexible workforces and overcome potential drawbacks

Why take this course?

Flexible working and benefits are definitely here to stay. Team leaders, managers, and business leaders all need to understand why flexible benefits are so important to employees. This course will help you to do just that. It’ll also show you why embracing this new way of working will benefit your organization.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/922,
Human Resources / Company Culture,CCU05,The Risk of Echo Chambers,"Everyone knows an echo is just the sound of their own voice bouncing off a surface and coming straight back to them. But a strong echo makes it more difficult to hear what other people around you are saying. After all, when you’re surrounded by your own voice, it’s not easy to learn about other people’s opinions or promote a sense of diversity, is it?

An echo chamber is an environment where a person only comes into contact with beliefs and views that reflect their own. Echo chambers are dangerous because they reinforce existing beliefs and don’t let different ideas develop. The result is not only a loss of creativity but also narrow-minded thinking. Echo chambers might also lead to isolation for those who’d like to have their say but don’t feel supported enough to do so.

By the end of the course, you’ll be able to:

• Recognize the signs of an echo chamber forming/existing within an organization
• Understand the ways in which echo chambers can negatively impact a company’s culture
• Demonstrate and encourage behaviors to actively avoid/escape an echo chamber

Why take this course?

Learning about others' views and opinions is vital for diversity, inclusion, and building a strong team. This course is ideal for those working in HR, leadership and development, and people-management roles. It’ll show you how to spot the signs of echo chambers, so you can deal with them before they become a bigger problem. This course will also help you understand why echo chambers are bad news and how to avoid and escape them if they occur.

10 mins | SCORM | Development Plan",EN,https://horenso.talentlms.com/plus/catalog/courses/1152,
Compliance and Safety / Cybersecurity,CS028,The risks of public WiFi and the use of VPNs,"The daily commute can be a grind for so many of us. But at least there’s that 10-minute stop-off at your favorite coffee shop to look forward to. You can order a complicated drink. You can have a muffin. You can log in to the coffee shop’s Wi-Fi and unwillingly expose your organization’s network and confidential data to cybercriminals. That last bit doesn’t sound so great, does it?

Using public Wi-Fi is not without risk. Understanding these risks and how to overcome them will help you protect the organization you work for. The techniques that cybercriminals use to steal data like passwords and confidential communications are more sophisticated than ever. So it’s vital you know how to avoid compromising your organization’s privacy and security.

By the end of this course, you’ll be able to:

• Understand the risks associated with using public Wi-Fi
• Explain how a VPN can help increase privacy when using public Wi-Fi
• Recognize the dos and don’ts of using public Wi-Fi

Why take this course?

Everyone has a role to play in protecting their organization’s data from being hijacked by cybercriminals. That’s why everyone can benefit from understanding risks to security and how to overcome them. This course will show you why public Wi-Fi can be dangerous, along with how to be as safe as possible while using it.

10 mins | SCORM | Workbook",EN,https://horenso.talentlms.com/plus/catalog/courses/873,
Compliance and Safety / Cybersecurity,CS005,The Risks of Ransomware,"It’s been a stalwart of movie plots since cinema began: Bad guy kidnaps the love interest of the main protagonist, demands an impossible ransom, and hero has to try and save the day.



When it happens on screen for your entertainment, it’s fine, right? The thing is, criminals these days might not kidnap people. They’ve learned from the mistakes people made in the movies and go after something much easier. Your data.



Whether it’s at home or at work, when a rogue element takes over your computer and encrypts your files so you can’t access them unless you pay a fee, that’s called ransomware. This can be scary, and also financially damaging if you don’t know what to do.



By the end of this course, you’ll be able to:



• Understand what ransomware is

• Understand the consequences of not protecting data

• Protect yourself from ransomware attacks



Why take this course?



Imagine the damage it would cause if you could never access your computer again. That business plan people are relying on. The payroll details. Holiday schedules. It doesn’t bear thinking about. And a simple ‘reset password’ call to the IT department isn’t going to work. This course will show you how you can prevent attacks and protect your data.



10 mins | SCORM | Workbook",EN,https://horenso.talentlms.com/plus/catalog/courses/306,https://horenso.talentlms.com/plus/catalog/courses/649
Leadership / Entrepreneurship,ENT07,The Power of Influence,"Influential people hold a lot of power, and can change the behaviors of others with just a suggestion. When a popular business or public figure advertises a certain product, you can almost guarantee that product will see a surge in orders. Using influential celebrities and leaders in advertising campaigns isn’t a new idea, it was common as far back as the Roman Empire, so it’s useful to learn how to harness that power of influence in your field of business.

You might not want to reach every single teenager in America, but having greater influence in your workplace will improve your leadership skills and your results.

By the end of this course you’ll be able to:

• Recognize the importance of influence in business
• List positive methods for increasing influence
• Examine ways to leverage your influence to create change

Why take this course?

Leaders and entrepreneurs who are looking to build their standing within their industry will benefit from a greater understanding of influence. When your influence grows, so does belief in your leadership, bringing you power in your chosen field and creating a strong, cohesive team.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/420,
Human Resources / Learning Essentials,LNE03,The Power of Microlearning,"You know the old saying, ‘Good things come in small packages’, right? Well, when it comes to learning, that can be pretty on the mark. Microlearning gives you the chance to learn new skills in small doses without pushing your brain into overload.

In the workplace, microlearning can be a great way of training employees, as it concentrates learning into “nuggets” with engaging content that’s both fun and informative. This can be far more beneficial than long, information-packed sessions delivered as text or a presentation. And, as a bonus, microlearning can streamline your company’s training scheme.

By the end of this course, you’ll be able to:

•Understand what ‘microlearning’ is
•Appreciate the convenience of eLearning & technology
•Use microlearning to demonstrate that learning can be fun

Why take this course?

Microlearning is effective for challenging short attention spans, and the best way to learn about it is… you guessed it, in a microlearning course!

For managers or persons responsible for training, this course will give you a greater understanding of learning in bite-sized chunks, showing how engaging content can make learning fun. It will also show you how technology and eLearning can be harnessed to allow training to be delivered quickly and on the go.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/339,
... / Marketing / Marketing Essentials,ME008,The Power of Networking,"Building connections is important in every business and in every department of a company. Knowing how to form and grow these connections is a crucial part of helping your business succeed. That’s where networking comes in.

Simply walking up to someone random to say hello during a conference is probably not going to result in a valuable connection. Instead, you should know a few things about the person before approaching them, and also have a plan for starting a conversation. Even if meeting strangers may not be your favorite thing to do, this course will help make the process feel easier and more natural.

By the end of this course, you’ll be able to:

• Understand why “who you know, not what you know” is true in networking
• Build strong connections
• Find networking opportunities that will benefit your business

Why take this course?

Whether you’re a business owner, manager, or in charge of marketing, networking is a powerful way of putting your business out there. But, like any other tool, if you don’t use it right, things could go very wrong. Getting the balance of power just right could make you the face everyone wants to meet. So, before you check out the complimentary buffet at the next trade show, use the tips and advice in this course to make sure your networking skills are top notch.

10 mins | SCORM | Workbook",EN,https://horenso.talentlms.com/plus/catalog/courses/584,
Leadership / The Leadership Role Model,LRM06,The Power of Patience,"Patience. For some it’s just a card game, for others it’s about keeping their calm when things don’t go their way. Patience isn’t just a card game or a virtue. It can be powerful, too. It’s an essential tool for every leader that will improve success rates and help build better workplaces.

When you use patience in the workplace, you can improve relationships, command respect, and win better deals. Successfully exercising patience can take a little time out of your day, but it’s worth it. In the long term, you’ll save time and money by listening to staff, considering your options, and biding your time in dealmaking.

By the end of this course, you’ll be able to:

• Recognize the benefits of being patient
• Describe patience-building techniques
• Practice patience while interacting with your team

Why take this course?

If you’re a leader, you’ll need to exercise patience to be successful. Beyond just counting to 10, there are many techniques you can use to help with that. So, if you want to learn how to be as cool as ice, then this course will help you. You’ll learn about patience, how it can be useful in the workplace, and how you can be more patient as a leader.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/429,
... / Marketing / Marketing Skills Mastery,MSM02,The Power of Pillar Pages,"In ancient Greece and Egypt, things were built to last. Many of their monuments are still standing, despite being thousands of years old. The foundations of a business website should be just as strong. In the modern world, it’s all too easy for a website to disappear into the depths of search-engine rankings. One of the simplest ways to avoid this, is through pillar pages.

You can use pillar pages to give a clear overview of a website, while also providing links to related content. Good pillar pages can help people navigate the company website easily, encourage users to engage with the business you work for, and boost search-engine rankings. This course will show you how.

By the end of this course, you’ll be able to:

● Recognize the benefits to user experience that pillar pages offer
● Identify how pillar pages can promote the company’s digital rankings
● Create and manage your own pillar pages

Why take this course?

If you’re a marketing manager, marketing executive, or a senior leader, this course can help. You’ll learn about the benefits of pillar pages and discover how to boost your search engine rankings. You’ll also learn to create and manage your own pillar pages to help users interact with the company you work for online.

10 mins | SCORM | Development Plan",EN,https://horenso.talentlms.com/plus/catalog/courses/596,
... / Sales / Sales Mastery,SM021,The Power of Referrals,"virtual private networks – or VPNs – provide an encrypted tunnel through which all online activity and communication can travel. This helps keep you and your organization safe from cybercriminals and protects confidentiality. Pretty clever stuff, right? They can even help remote teams access work networks more safely.

The thing is, even though VPNS are a useful tool, understanding exactly what they do can be challenging. And your organization’s precise needs relate to their size and the type of work being undertaken. Understanding the pros and cons of using a VPN, along with the main types, and what to look out for, will help you make the most of the benefits that VPNs have to offer.

By the end of this course, you’ll be able to:

• Understand the advantages and disadvantages of using VPNs
• Define the 3 main types of VPN and what they offer
• Recognize what your organization should consider when choosing a VPN

Why take this course?

Cybercriminals become more sophisticated and dangerous every day. That’s why everyone working within an IT environment needs to understand the pros and cons of working with VPNs and how to go about choosing one. This course will help you understand the ins and outs of VPNs and how they can protect the organization you work for against cyberattacks and data breaches.

15 mins | SCORM | Workbook",EN,,
... / Sales / Sales Mastery,SM021,The Power of Referrals,"If you’re looking for a recommendation, who do you ask first? Someone you trust, right? Someone who’s been there, done that, and had a great experience. The same is true in sales. That’s why referrals from satisfied clients are a powerful sales tool. But asking for a referral can be tricky.

Approaching a client about a referral might make you feel uncomfortable or as if the timing isn’t right. In reality, asking for a referral straight after a positive experience is an effective way of building up warm leads. And there are steps you can take to secure a referral successfully. This course will explain everything you need to know.

By the end of this course, you’ll be able to:

• Identify when it’s a good time to approach your clients for a referral
• Characterize the common mistakes salespeople make when approaching clients for referrals
• Recognize the key steps to securing a successful referral

Why take this course?

If you’re a sales executive, representative, or manager, it’s important to recognize the power of referrals within your sales strategy. In this course, you’ll learn about the positives of referrals, some common mistakes to watch out for, and the key stages of securing a referral.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/courses/1059,
Personal Development / Mastering Happiness,MH005,The Power of Self-Reflection,"Have you ever stopped and looked in the mirror to see what you really look like? Not just a quick glance to make sure everything’s still in the right place. But a real close look at your features, like the shape of your eyebrows, the exact color of your eyes, or the size of your nose.

Well, self-reflection is kind of like that, but on the inside. It involves paying close attention to yourself and thinking about your thoughts, beliefs, ways of working, and behaviors. You might be surprised at what you see. You may also be surprised at how much your skills and abilities can be improved by a little self-reflection. This course will explain everything.

By the end of this course, you’ll be able to:

• Understand the personal benefits of self-reflection
• Identify the practical benefits of self-reflection
• Recognize the main methods of self-reflection

Why take this course?

Everyone can benefit from a little self-reflection, no matter what you hope to gain from it. This course will show you the personal benefits of self-reflection, how these can apply to real-world situations, and a few key ways you can effectively reflect on yourself.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/489,
... / Coaching / Coaching Essentials,CE007,The Power of Silence,"Have you ever been in a situation that has blown up because of something someone has said? You know that if they’d just taken a few moments to think about what they were going to say, they could have avoided all kinds of trouble.

Sometimes, silence is most definitely golden. It can give you time to think about what you’re going to say next. It can help you to relax, and it can even make people listen. Without silence, information can be missed, tensions can rise, and patience can grow thin. Harnessing the power of silence in the workplace can improve communication, focus, and overall performance.

By the end of this course, you’ll be able to:

• Understand why silence can be powerful
• Identify the benefits of using silence
• Use silence successfully

Why take this course?

Whatever your role, using the power of silence can improve the way you communicate. But if you’re coaching, then it’s a vital tool that you can use to improve performance. This course teaches you how silence can be powerful, why it can be useful, and how to use it in coaching.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/544,
... / Marketing / Marketing Essentials,ME004,The Power of Social Media,"Social media has become a huge part of our daily lives, with millions of people online at any given moment. This makes it a powerful marketing tool for every business. Establishing and building a strong social media presence may seem challenging, and it does take time. But it can be a game changer for your business’s growth and success.

Learn how to leverage the power of social media to get your brand and products in front of millions of potential customers. Soon, you’ll see a boost in your sales and the overall success of your business.

By the end of this course, you’ll be able to:

• Understand why social media is important to business
• Use social media as a marketing tool
• Create good content that can get your business trending

Why take this course?

Whether you run a small business or a huge corporation, social media is a vital part of your marketing. Having an ineffective social media presence, or not having one at all, could be very bad for your business. This course will guide you through setting up and maintaining an effective social media presence to boost your business.

10 mins | SCORM | Workbook",EN,https://horenso.talentlms.com/plus/catalog/courses/580,
... / Teamwork / Teamwork Essentials,TWE01,The Power of Teamworking,"While teamwork may not be everyone’s favorite way to get things done, there are many tasks and projects that simply cannot be completed by a single person. Love it or hate it, teamwork is a necessity in the workplace. Even if your job is largely independent of others, sooner or later, you will have to work in a team. If you feel like you’re not equipped for teamwork, then just think about the skills and expertise you can bring to the table.

Successful teams build better businesses and are highly valued by employers. When you don’t embrace teamwork, you’re instantly reducing your worth to an organization. The great news is, you can work on your soft skills to become better at teamwork.

By the end of this course, you’ll be able to:

• Understand the benefits of teamwork
• Negotiate the barriers to teamwork
• Use essential skills to improve your team working

Why take this course?

Whatever your role and wherever you work, making sure you can work in a team is essential. This course will teach you about the benefits of teamwork, look into some barriers, and discuss essential skills you’ll need to become a more successful team worker.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/621,
... / Business Continuity / Business Continuity Essentials,"BC005



",The Incident Manager's Tool Kit,"Have you ever had a crisis of confidence during an incident? You know, when everyone’s looking at you hopefully, waiting for you to think of a solution to a problem? You’re supposed to say something strong and reassuring, but you’re just not sure what to do. It’s uncomfortable at best. But, at worst, it could leave you, and everyone else, in a panic, and your recovery plans in disarray.

No matter how confident you are in your job, it is difficult to navigate incidents, because everyone’s suddenly thrown right out of their comfort zone. So, you need to develop and practice a range of skills, steps, and techniques, to make sure everything’s handled as smoothly as possible. This course will show you how.

By the end of this course, you’ll be able to:

• Define the essential skills needed for successful incident management
• Recognize the steps of incident management
• Adopt strategies and advice to improve your incident management effectiveness

Why take this course?

If you’re a business leader, incident management needs to be a big part of your leadership tool kit. This course will explore the skills you’ll need, and the steps to take, to manage incidents effectively. And by using the tips and strategies in this course, you’ll be able to improve your incident management skills, to help ensure you manage future incidents successfully.

10 mins | SCORM | Workbook",EN,https://horenso.talentlms.com/plus/catalog/courses/538,
"DEI (Diversity, Equality, Inclusion) / Diversity and Inclusion",DI001,"The Key Values of Equality, Diversity and Inclusion","Most organizations are aware of equality, diversity, and inclusion (or ED&I) and how they can positively impact the workplace. Unfortunately, however, many businesses might only implement the diversity part such as hiring employees from untapped groups. They may fail to treat everyone fairly and actually make them feel included.

When diverse employees are given equality of opportunity and are actively included in an organization, they’re more likely to feel valued and respected. In turn, this creates a strong sense of engagement which drives innovation and performance as well as productivity levels.

By the end of this course, you’ll be able to:

• Explain the differences between equality, diversity, and inclusion
• Describe the business benefits and importance of ED&I
• Demonstrate how to make your organization more equal, diverse, and inclusive

Why take this course?

Suitable for business owners and managers, this course will show you why implementing the values of ED&I will enhance your organization’s growth and prosperity.

15 mins | SCORM | Workbook",EN,https://horenso.talentlms.com/plus/catalog/courses/261,https://horenso.talentlms.com/plus/catalog/courses/635
... / Marketing / Marketing Skills Mastery,MSM01,The Marketing Funnel - From the Top to the Bottom,"You know that saying, “Cast your net wide”? Well, that’s the best way to begin a marketing campaign. When you start building consumer relationships, you invite as many people as possible to view your product. But, as with fishing, not everyone is going to bite. That’s where the marketing funnel comes in.

The marketing funnel is a great tool for helping you visualize your customer’s journey from first interest to final purchase. It helps you and your marketing team understand why some customers remain engaged throughout the whole buying process, and others don’t. Using marketing funnels effectively will help you target relevant buyers, nurture customers, and build loyalties.

By the end of this course, you’ll be able to:

• Identify the key stages of the marketing funnel
• Recognize the benefits and limitations of the marketing funnel in the digital age
• Create your own funnel to fit your marketing strategy

Why take this course?

Whether you’re a marketing manager, marketing executive, or a senior leader, this course can help you create a strong marketing strategy. You’ll explore the key stages of the marketing funnel, and recognize the pros and cons of using this tool within changing digital markets. You’ll also be able to create your own funnel to fit your company’s marketing goals.

10 mins | SCORM | Development Plan",EN,https://horenso.talentlms.com/plus/catalog/courses/595,
Human Resources / Hybrid & Remote Working,HW005,The Perfect Hybrid Working Policy,"There are certain board games that always cause an argument. Do you get your money when you land on “Go” or when you move past it? Can you get paid from jail? And everyone has a different idea on the “Free Parking” rules. If only you kept those pesky instructions. Then you’d have a single document to refer to instead of having to negotiate the rules each time.

When your staff start hybrid working, they must know exactly what the rules are. Having a single policy document they can refer to ensures everyone understands what’s expected of them. This course will help you create your perfect hybrid working policy, so your staff know what they’re meant to do.

By the end of this course, you’ll be able to:

• Recognize the key considerations when setting a hybrid policy
• Explain why a policy for hybrid work is important
• Create a fair and robust hybrid policy for your workforce

Why take this course?

Working in the office leads to certain rules and standards that must be upheld. When employees are working in a hybrid way, this can get confusing. They need to know what the rules are, to ensure they are safe and productive. This course will take you through what a hybrid policy is and why it’s so important for your workforce. Suitable for hybrid-team managers or leaders, the course will help you create your own suitable policy for your workforce.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/336,
Compliance and Safety / Cybersecurity,CS001,The Power of a Strong Password,"How many times have you opened a new app and typed the same password you’ve had since forever? And if it doesn’t accept it, you say, “Ok, I’ll add a 1 on the end. A capital letter? Fine. Now it wants to recommend a password too? How on earth will I remember that nonsense! I’ll have to get it tattooed on my arm.”

This rigmarole may seem like someone’s testing your limits, but password protection isn’t there to annoy you – it’s there to protect your data and personal information.

In the workplace, it’s not just your data and personal information you need to worry about. It’s your customers’ too. While having the same password for everything seems convenient, a weak password can be your biggest downfall.

By the end of this course, you’ll be able to:

• Understand the downfalls of a weak password
• Understand the need to protect any data you access
• Set a strong password

Why take this course?

Learning to come up with a strong password is really important, whether it’s for work or personal tech. To help you successfully navigate the online world, this course explains why you should be using a strong password and how to create one.

10 mins | SCORM | Workbook",EN,https://horenso.talentlms.com/plus/catalog/courses/192,https://horenso.talentlms.com/plus/catalog/courses/645
Leadership / Business Innovation,BI010,The Power of Analysis,"What’s your hidden superpower?

Creativity? Hawk-like hearing? Maybe the ability to always be barefoot at the exact moment a rogue Lego piece appears on the floor? (Ow, we’ve all been there.)

For businesses in the real world, their hidden superpower is analysis.

Modern companies the world over are using the power of analysis to become more efficient. A great business analyst increases profit margins and identifies compliance gaps, ultimately paving the way for businesses to beat their competition.

By the end of this course, you’ll be able to:

• Define and identify the benefits of business analysis
• Recognize how analysis can support and encourage business innovation
• Demonstrate ways of levering business analysis to drive your company forward

Why take this course?

This course is for leaders and business owners in any industry who want to better understand the role of business analysis, and harness its power to make them stand out.
When it comes to business innovation, the devil is in the details. Ideas can come from anywhere, but only through analysis are you able to spot gaps, find solutions, add value, and continually bring about innovation in your business.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/402,
